"","original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db"
"1","17-DMAG","Alvespimycin","NCIT:C38142","NCIT"
"2","19D12","Robatumumab","NCIT:C71527","NCIT"
"3","5 fu","Fluorouracil","NCIT:C505","NCIT"
"4","5-FU","Fluorouracil","NCIT:C505","NCIT"
"5","5-fluorouracil","Fluorouracil","NCIT:C505","NCIT"
"6","5/FU","Fluorouracil","NCIT:C505","NCIT"
"7","5FU","Fluorouracil","NCIT:C505","NCIT"
"8","6-MP","Mercaptopurine","NCIT:C195","NCIT"
"9","6MP","Mercaptopurine","NCIT:C195","NCIT"
"10","AA","Antiandrogen Therapy","NCIT:C15481","NCIT"
"11","AALL0232 therapy","AALL0232 ALL Study Identifier","NCIT:C178065","NCIT"
"12","AALL0232 w/Dex","AALL0232 ALL Study Identifier;Dexamethasone","NCIT:C178065;NCIT:C422","NCIT;NCIT"
"13","AALL0331","AALL0331 ALL Study Identifier","NCIT:C178095","NCIT"
"14","ABRAXANE","Nab-paclitaxel","NCIT:C2688","NCIT"
"15","ABSTRACTION_PENDING","Chart Abstraction;Pending","NCIT:C113748;NCIT:C53470","NCIT;NCIT"
"16","ABT-199","Venetoclax","NCIT:C103147","NCIT"
"17","ABT-263","Navitoclax","NCIT:C64776","NCIT"
"18","ABT888","Veliparib","NCIT:C60768","NCIT"
"19","AC220 (Ambit)","Quizartinib Dihydrochloride","NCIT:C97272","NCIT"
"20","ACTINOMYCIN D","Dactinomycin","NCIT:C412","NCIT"
"21","AG-120","Ivosidenib","NCIT:C114383","NCIT"
"22","AG-221","Enasidenib","NCIT:C111573","NCIT"
"23","AIS","Aromatase Inhibitor","NCIT:C1740","NCIT"
"24","AKTi","AKT Inhibitor","NCIT:C155764","NCIT"
"25","ALND","Axillary Lymph Node Dissection","NCIT:C15677","NCIT"
"26","ALPELISIB","Alpelisib","NCIT:C94214","NCIT"
"27","ALRN-6924","MDM2/MDMX Inhibitor ALRN-6924","NCIT:C118669","NCIT"
"28","AMD","Dactinomycin","NCIT:C412","NCIT"
"29","ANTHRACYCLINE","Anthracycline Antineoplastic Antibiotic","NCIT:C1594","NCIT"
"30","ANTIHER2","HER2-targeting Agent","NCIT:C163760","NCIT"
"31","APLIDIN","Plitidepsin","NCIT:C1689","NCIT"
"32","APR","Abdominoperineal Resection","NCIT:C91826","NCIT"
"33","ARN 509","Apalutamide","NCIT:C92574","NCIT"
"34","ARN509","Apalutamide","NCIT:C92574","NCIT"
"35","ATG","Anti-Thymocyte Globulin","NCIT:C278","NCIT"
"36","ATRA","Tretinoin","NCIT:C900","NCIT"
"37","ATRA (Tretinoin)","Tretinoin","NCIT:C900","NCIT"
"38","ATRA started","Tretinoin","NCIT:C900","NCIT"
"39","AZD-2171","Cediranib","NCIT:C80867","NCIT"
"40","AZD-6244","Selumetinib","NCIT:C66939","NCIT"
"41","AZD1480","JAK2 Inhibitor AZD1480","NCIT:C91394","NCIT"
"42","AZD8055","mTOR Kinase Inhibitor AZD8055","NCIT:C78856","NCIT"
"43","AbiCabazi (abiraterone)","Abiraterone","NCIT:C77333","NCIT"
"44","Abiraterone","Abiraterone","NCIT:C77333","NCIT"
"45","Abiraterone acetate","Abiraterone Acetate","NCIT:C68845","NCIT"
"46","Adalimumab","Adalimumab","NCIT:C65216","NCIT"
"47","Additional resection/ margins (taken after first margin positive)","Resection","NCIT:C158758","NCIT"
"48","Adr","Doxorubicin Hydrochloride","NCIT:C1326","NCIT"
"49","Adriamycine","Doxorubicin Hydrochloride","NCIT:C1326","NCIT"
"50","Afatinib","Afatinib","NCIT:C66940","NCIT"
"51","Alisertib","Alisertib","NCIT:C71717","NCIT"
"52","Alliance (enzalutamide)","Enzalutamide","NCIT:C71744","NCIT"
"53","Alpelisib","Alpelisib","NCIT:C94214","NCIT"
"54","Anastomosis","Anastomosis","NCIT:C15609","NCIT"
"55","Anterior Pelvic Exenteration","Anterior Pelvic Exenteration","NCIT:C94468","NCIT"
"56","AntiEGFR","Anti-EGFR Monoclonal Antibody","NCIT:C133878","NCIT"
"57","Ara","Cytarabine","NCIT:C408","NCIT"
"58","Ara C","Cytarabine","NCIT:C408","NCIT"
"59","Ara-C","Cytarabine","NCIT:C408","NCIT"
"60","Arsenic Trioxide","Arsenic Trioxide","NCIT:C1005","NCIT"
"61","Arsenic.","Arsenic","NCIT:C28131","NCIT"
"62","Ascites","Ascites Drainage","NCIT:C159342","NCIT"
"63","Aspiration","Aspiration","NCIT:C15631","NCIT"
"64","Atezolizumab","Atezolizumab","NCIT:C106250","NCIT"
"65","Auto","Autologous Hematopoietic Stem Cell Transplantation","NCIT:C16039","NCIT"
"66","Autopsy","Autopsy","NCIT:C25153","NCIT"
"67","Avastin","Bevacizumab","NCIT:C2039","NCIT"
"68","Avatin","Lorazepam","NCIT:C619","NCIT"
"69","Axitinib","Axitinib","NCIT:C38718","NCIT"
"70","Aza","Azacitidine","NCIT:C288","NCIT"
"71","Azacitidine","Azacitidine","NCIT:C288","NCIT"
"72","Azathioprine","Azathioprine","NCIT:C290","NCIT"
"73","B/L Pelvic LN dissection","Bilateral Pelvic Lymph Node Dissection","NCIT:C166163","NCIT"
"74","BAL101553","Lisavanbulin","NCIT:C97664","NCIT"
"75","BAY1161909","Empesertib","NCIT:C116074","NCIT"
"76","BCG","Bacillus Calmette-Guerin Antigen","NCIT:C77178","NCIT"
"77","BCNU","Carmustine","NCIT:C349","NCIT"
"78","BEV","Bevacizumab","NCIT:C2039","NCIT"
"79","BEZ235","Dactolisib","NCIT:C74072","NCIT"
"80","BI 836858 (anti-CD33)","Anti-CD33 Monoclonal Antibody BI 836858","NCIT:C116737","NCIT"
"81","BI6727 (VOLASERTIB)","Volasertib","NCIT:C79844","NCIT"
"82","BI836858 (anti-CD33)","Anti-CD33 Monoclonal Antibody BI 836858","NCIT:C116737","NCIT"
"83","BKM120","Buparlisib","NCIT:C90565","NCIT"
"84","BL-8040","Motixafortide","NCIT:C88309","NCIT"
"85","BMN-673","Talazoparib","NCIT:C95733","NCIT"
"86","BMS-354825","Dasatinib","NCIT:C38713","NCIT"
"87","BMS-754807","Dual IGF-1R/InsR Inhibitor BMS-754807","NCIT:C74043","NCIT"
"88","BMS-986205 (IDO inhibitor)","Linrodostat","NCIT:C141135","NCIT"
"89","BMS-986205 (P1T986205)","Linrodostat","NCIT:C141135","NCIT"
"90","BORTEZOMIB","Bortezomib","NCIT:C1851","NCIT"
"91","BP1001","Prexigebersen","NCIT:C91736","NCIT"
"92","BPX-501","Rivogenlecleucel","NCIT:C105395","NCIT"
"93","BREAST CONSERVING","Breast Conservation Treatment","NCIT:C15280","NCIT"
"94","BSO","Buthionine Sulfoximine","NCIT:C1029","NCIT"
"95","BU","Busulfan","NCIT:C321","NCIT"
"96","BYL719","Alpelisib","NCIT:C94214","NCIT"
"97","Bacillus Calmette-Guerin","Bacillus Calmette-Guerin Antigen","NCIT:C77178","NCIT"
"98","Bacillus Calmette-Guerin (BCG)","Bacillus Calmette-Guerin Antigen","NCIT:C77178","NCIT"
"99","Bevacizumab","Bevacizumab","NCIT:C2039","NCIT"
"100","Bevasizumab","Bevacizumab","NCIT:C2039","NCIT"
"101","Bevicizumab","Bevacizumab","NCIT:C2039","NCIT"
"102","Bicalutamide","Bicalutamide","NCIT:C1599","NCIT"
"103","Bilateral Mastectomy","Bilateral Mastectomy","NCIT:C168521","NCIT"
"104","Bilateral Ovarian cystectomy","Bilateral;Ovarian;Cystectomy","NCIT:C13332;NCIT:C28047;NCIT:C15217","NCIT;NCIT;NCIT"
"105","Bilateral Salpingectomy","Bilateral Salpingectomy","NCIT:C51667","NCIT"
"106","Bilateral Salpingo-Oophorectomy","Bilateral Salpingectomy with Oophorectomy","NCIT:C51765","NCIT"
"107","Bilateral breast reconstruction with tissue expanders.","Tissue Expander-Implant Breast Reconstruction;Bilateral","NCIT:C160627;NCIT:C13332","NCIT;NCIT"
"108","Bilateral skin sparing Mastectomy","Bilateral;Skin-Sparing Mastectomy","NCIT:C13332;NCIT:C107211","NCIT;NCIT"
"109","Bile Duct Resection","Bile Duct;Resection","NCIT:C12376;NCIT:C158758","NCIT;NCIT"
"110","Binimetinib (MEK162)","Binimetinib","NCIT:C84865","NCIT"
"111","Biochemo","Biochemotherapy","NCIT:C154330","NCIT"
"112","Biochemotherapy","Biochemotherapy","NCIT:C154330","NCIT"
"113","Biopsy","Biopsy","NCIT:C15189","NCIT"
"114","Bisulfan","Busulfan","NCIT:C321","NCIT"
"115","Bladder diverticulectomy","bladder diverticulectomy","MAXO:0001096","MAXO"
"116","Bleo","Bleomycin","NCIT:C313","NCIT"
"117","Bleomycin","Bleomycin","NCIT:C313","NCIT"
"118","Blood Draw","Blood Sample","NCIT:C17610","NCIT"
"119","Bone marrow transplant","Bone Marrow Transplantation","NCIT:C15194","NCIT"
"120","Bortezomib","Bortezomib","NCIT:C1851","NCIT"
"121","Breast Conservation","Breast Conservation Treatment","NCIT:C15280","NCIT"
"122","Bu","Busulfan","NCIT:C321","NCIT"
"123","Buparlisib","Buparlisib","NCIT:C90565","NCIT"
"124","Busul","Busulfan","NCIT:C321","NCIT"
"125","Busulfan","Busulfan","NCIT:C321","NCIT"
"126","CABOZANTINIB (XL-148)","Cabozantinib","NCIT:C52200","NCIT"
"127","CAI (NABTT 97212)","Carboxyamidotriazole","NCIT:C1141","NCIT"
"128","CAPECITABINE","Capecitabine","NCIT:C1794","NCIT"
"129","CARBOPLATIN","Carboplatin","NCIT:C1282","NCIT"
"130","CBL0137","FACT Complex-targeting Curaxin CBL0137","NCIT:C107239","NCIT"
"131","CC115","DNA-PK/TOR Kinase Inhibitor CC-115","NCIT:C97040","NCIT"
"132","CCNU","Lomustine","NCIT:C617","NCIT"
"133","CD123","Immunotherapeutic Agent","NCIT:C308","NCIT"
"134","CD3","Anti-CD3 Monoclonal Antibody","NCIT:C112883","NCIT"
"135","CDK46","Cyclin-Dependent Kinase Inhibitor","NCIT:C2185","NCIT"
"136","CDX-011 (GLEMBATUMUMAB)","Glembatumumab","NCIT:C84520","NCIT"
"137","CELECOXIB","Celecoxib","NCIT:C1728","NCIT"
"138","CGC(PG)-11047","Polyamine Analogue PG11047","NCIT:C60816","NCIT"
"139","CI-980","Mivobulin Isethionate","NCIT:C1357","NCIT"
"140","CIS","Cisplatin","NCIT:C376","NCIT"
"141","CISPLATIN","Cisplatin","NCIT:C376","NCIT"
"142","CORE","Core Biopsy","NCIT:C15680","NCIT"
"143","CPI-613","Devimistat","NCIT:C80039","NCIT"
"144","CPT-11","Irinotecan Hydrochloride","NCIT:C1381","NCIT"
"145","CPX-351","Liposome-encapsulated Daunorubicin-Cytarabine","NCIT:C67504","NCIT"
"146","CPX351","Liposome-encapsulated Daunorubicin-Cytarabine","NCIT:C67504","NCIT"
"147","CSF1R inhibitor","Immunosuppressant","NCIT:C574","NCIT"
"148","CTL019","Tisagenlecleucel","NCIT:C102758","NCIT"
"149","CVT","Regadenoson","NCIT:C74420","NCIT"
"150","CX-01","Dociparstat sodium","NCIT:C99130","NCIT"
"151","CX-5461 (POL1)","Pidnarulex","NCIT:C126798","NCIT"
"152","CXCR4 inhibitor","CXCR4 Inhibitor","NCIT:C107589","NCIT"
"153","CY","Cyclophosphamide","NCIT:C405","NCIT"
"154","CYCLOPHOSPHAMIDE","Cyclophosphamide","NCIT:C405","NCIT"
"155","CYSTOPROSTATECTOMY","Radical Cystoprostatectomy","NCIT:C51899","NCIT"
"156","CYTARABINE","Cytarabine","NCIT:C408","NCIT"
"157","Cabazitaxel","Cabazitaxel","NCIT:C66937","NCIT"
"158","Cabivalizumab","Cabiralizumab","NCIT:C123831","NCIT"
"159","Cabo","Cabozantinib","NCIT:C52200","NCIT"
"160","Cabozantinib","Cabozantinib","NCIT:C52200","NCIT"
"161","Cape","Capecitabine","NCIT:C1794","NCIT"
"162","Capecitabine","Capecitabine","NCIT:C1794","NCIT"
"163","Capectitabine","Capecitabine","NCIT:C1794","NCIT"
"164","Carbo","Carboplatin","NCIT:C1282","NCIT"
"165","Carboplatin","Carboplatin","NCIT:C1282","NCIT"
"166","Carmustine","Carmustine","NCIT:C349","NCIT"
"167","Cart-T cell therapy","Chimeric Antigen Receptor T-Cell Therapy","NCIT:C126102","NCIT"
"168","Casodex","Bicalutamide","NCIT:C1599","NCIT"
"169","Casoxdex","Bicalutamide","NCIT:C1599","NCIT"
"170","Caudate segmentectomy","Caudate Lobe;Segmentectomy","NCIT:C33000;NCIT:C91061","NCIT;NCIT"
"171","Cediranib","Cediranib","NCIT:C80867","NCIT"
"172","Celgene CC-15","DNA-PK/TOR Kinase Inhibitor CC-115","NCIT:C97040","NCIT"
"173","Cellcept","Mycophenolate Mofetil","NCIT:C1468","NCIT"
"174","Cepecitabine","Capecitabine","NCIT:C1794","NCIT"
"175","Cetuximab","Cetuximab","NCIT:C1723","NCIT"
"176","Cilengitide","Cilengitide","NCIT:C1834","NCIT"
"177","Cis","Cisplatin","NCIT:C376","NCIT"
"178","Cisplatin","Cisplatin","NCIT:C376","NCIT"
"179","Cladribine","Cladribine","NCIT:C1336","NCIT"
"180","Clofarabine","Clofarabine","NCIT:C26638","NCIT"
"181","Cobemitinib","Cobimetinib","NCIT:C68923","NCIT"
"182","Cobimetinib","Cobimetinib","NCIT:C68923","NCIT"
"183","Conformal","Radiotherapy, Conformal","OMIT:0020176","OMIT"
"184","Core Biopsy of liver lesion","Core Biopsy;Liver Lesion","NCIT:C15680;NCIT:C159516","NCIT;NCIT"
"185","Craniotomy","Craniotomy","NCIT:C15214","NCIT"
"186","Crenolanib","Crenolanib","NCIT:C64639","NCIT"
"187","CsPt","Cisplatin","NCIT:C376","NCIT"
"188","Ctx","Cyclophosphamide","NCIT:C405","NCIT"
"189","Cy","Cyclophosphamide","NCIT:C405","NCIT"
"190","CyPh","Cyclophosphamide","NCIT:C405","NCIT"
"191","Cyclophoshamide","Cyclophosphamide","NCIT:C405","NCIT"
"192","Cyclophospha","Cyclophosphamide","NCIT:C405","NCIT"
"193","Cyclophosphamide","Cyclophosphamide","NCIT:C405","NCIT"
"194","Cystectomy","Cystectomy","NCIT:C15217","NCIT"
"195","Cystoprostatectomy","Radical Cystoprostatectomy","NCIT:C51899","NCIT"
"196","Cystoprostatectomy (robotic)","Radical Cystoprostatectomy;Robot-Assisted Surgery","NCIT:C51899;NCIT:C140885","NCIT;NCIT"
"197","Cystoprotatectomy","Radical Cystoprostatectomy","NCIT:C51899","NCIT"
"198","Cytarabine","Cytarabine","NCIT:C408","NCIT"
"199","Cytarabine - liposomal","Liposomal Cytarabine","NCIT:C2388","NCIT"
"200","Cytosine","Cytosine","NCIT:C410","NCIT"
"201","Cytoxan","Cyclophosphamide","NCIT:C405","NCIT"
"202","Cyx","Cyclophosphamide","NCIT:C405","NCIT"
"203","DC vaccine","Dendritic Cell Vaccine","NCIT:C28310","NCIT"
"204","DC_VAX","Dendritic Cell Vaccine","NCIT:C28310","NCIT"
"205","DLL4/VEGF antibody OMP-305B83","Navicixizumab","NCIT:C119620","NCIT"
"206","DOPAMINE","Dopamine","NCIT:C62025","NCIT"
"207","DTIC","Dacarbazine","NCIT:C411","NCIT"
"208","DURVALUMAB","Durvalumab","NCIT:C103194","NCIT"
"209","Dabrafenib","Dabrafenib","NCIT:C82386","NCIT"
"210","Dacomitinib","Dacomitinib","NCIT:C53398","NCIT"
"211","Daratumumab","Daratumumab","NCIT:C74007","NCIT"
"212","Dasatinib","Dasatinib","NCIT:C38713","NCIT"
"213","Daunorubicin","Daunorubicin","NCIT:C62091","NCIT"
"214","Debio-1347","Zoligratinib","NCIT:C174762","NCIT"
"215","Debulking surgery","Tumor Debulking","NCIT:C15749","NCIT"
"216","Decitabine","Decitabine","NCIT:C981","NCIT"
"217","Decitbne","Decitabine","NCIT:C981","NCIT"
"218","Decortin H","Prednisolone","NCIT:C769","NCIT"
"219","Dexamethasone","Dexamethasone","NCIT:C422","NCIT"
"220","Distal pancreatectomy","Distal Pancreatectomy","NCIT:C51647","NCIT"
"221","Docetaxel","Docetaxel","NCIT:C1526","NCIT"
"222","Donor Lymphocyte Infusion","Donor Lymphocyte Infusion","NCIT:C16145","NCIT"
"223","Double Umbilical Cord Blood Transplant (DUCBT)","Double-Unit Umbilical Cord Blood Transplantation","NCIT:C116470","NCIT"
"224","Doxorubicin","Doxorubicin","NCIT:C456","NCIT"
"225","Doxorubicin Hydrochloride","Doxorubicin Hydrochloride","NCIT:C1326","NCIT"
"226","Durvalumab","Durvalumab","NCIT:C103194","NCIT"
"227","Durvalumab (GIC026)","Durvalumab","NCIT:C103194","NCIT"
"228","Dutasteride","Dutasteride","NCIT:C47503","NCIT"
"229","E7070","Indisulam","NCIT:C25797","NCIT"
"230","E7438/EPZ6438","Tazemetostat","NCIT:C107506","NCIT"
"231","EBRT","External Beam Radiation Therapy","NCIT:C15751","NCIT"
"232","EC1456","Folate Receptor-Targeted Tubulysin Conjugate EC1456","NCIT:C113176","NCIT"
"233","EGFR inhibitor","Anti-EGFR Monoclonal Antibody","NCIT:C133878","NCIT"
"234","EPINEPHRINE","Epinephrine","NCIT:C2292","NCIT"
"235","ERIBULIN","Eribulin","NCIT:C96748","NCIT"
"236","ESD","Endoscopic Submucosal Dissection","NCIT:C157837","NCIT"
"237","EXCISION","Excision","NCIT:C15232","NCIT"
"238","EXCISION WITH NEEDLE WIRE LOCALIZATION","Excision;Wire-Guided Localization","NCIT:C15232;NCIT:C91832","NCIT;NCIT"
"239","Enasidenib","Enasidenib","NCIT:C111573","NCIT"
"240","Endoxan","Cyclophosphamide","NCIT:C405","NCIT"
"241","Entospletinib","Entospletinib","NCIT:C105402","NCIT"
"242","Enucleation","Enucleation","NCIT:C48601","NCIT"
"243","Enzalutamide","Enzalutamide","NCIT:C71744","NCIT"
