"original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db"
"VIETNAM","Viet Nam","NCIT:C17252","NCIT"
"MEXICO","Mexico","NCIT:C16850","NCIT"
"SINGAPORE","Singapore","NCIT:C17134","NCIT"
"ROMANIA","Romania","NCIT:C17108","NCIT"
"RUSSIA","Russian Federation","NCIT:C17111","NCIT"
"UNITED STATES","United States","NCIT:C17234","NCIT"
"UKRAINE","Ukraine","NCIT:C17229","NCIT"
"CANADA","Canada","NCIT:C16380","NCIT"
"BULGARIA","Bulgaria","NCIT:C16368","NCIT"
"AUSTRALIA","Australia","NCIT:C16311","NCIT"
"BRAZIL","Brazil","NCIT:C16364","NCIT"
"NETHERLANDS","Netherlands","NCIT:C16903","NCIT"
"UNITED KINGDOM","United Kingdom","NCIT:C17233","NCIT"
"USA","United States","NCIT:C17234","NCIT"
"POLAND","Poland","NCIT:C17002","NCIT"
"CHINA","China","NCIT:C16428","NCIT"
"ITALY","Italy","NCIT:C16761","NCIT"
"UNITED STATES OF AMERICA","United States","NCIT:C17234","NCIT"
"SOUTH WALES","United Kingdom","NCIT:C17233","NCIT"
"INDIA","India","NCIT:C16727","NCIT"
"DENMARK","Denmark","NCIT:C16496","NCIT"
"SERBIA","Serbia","NCIT:C64377","NCIT"
"IRAQ","Iraq","NCIT:C16756","NCIT"
"GERMANY","Germany","NCIT:C16636","NCIT"
"NORTH CAROLINA","United States","NCIT:C17234","NCIT"
"NC","United States","NCIT:C17234","NCIT"
"TEXAS, USA","United States","NCIT:C17234","NCIT"
"MINNESOTA, USA","United States","NCIT:C17234","NCIT"
"ONTARIO/CANADA","Canada","NCIT:C16380","NCIT"
"ONTARIO CANADA","Canada","NCIT:C16380","NCIT"
"ONTARIO","Canada","NCIT:C16380","NCIT"
"PA","United States","NCIT:C17234","NCIT"
"AZ/USA","United States","NCIT:C17234","NCIT"
"NEW YORK","United States","NCIT:C17234","NCIT"
"MICHIGAN","United States","NCIT:C17234","NCIT"
"OKLAHOMA","United States","NCIT:C17234","NCIT"
"TEXAS","United States","NCIT:C17234","NCIT"
"KOREA","Korea, Republic of","NCIT:C16774","NCIT"
"TENNESSEE","United States","NCIT:C17234","NCIT"
"DELAWARE","United States","NCIT:C17234","NCIT"
"WLKP","Poland","NCIT:C17002","NCIT"
"PENNSYLVANIA","United States","NCIT:C17234","NCIT"
"VICTORIA","Canada","NCIT:C16380","NCIT"
"PENSYLVANIA","United States","NCIT:C17234","NCIT"
"ILLINOIS","United States","NCIT:C17234","NCIT"
"OHIO","United States","NCIT:C17234","NCIT"
"MOLDOVA","Moldova, Republic of","NCIT:C16871","NCIT"
"REPUBLIC OF MOLDOVA","Moldova, Republic of","NCIT:C16871","NCIT"
"SAO PAULO","Brazil","NCIT:C16364","NCIT"
"GEORGIA","United States","NCIT:C17234","NCIT"
"SCOTLAND","United Kingdom","NCIT:C17233","NCIT"
"HAMBURG/GERMANY","Germany","NCIT:C16636","NCIT"
"DELAWARE/ USA","United States","NCIT:C17234","NCIT"
"UNITED_STATES","United States","NCIT:C17234","NCIT"
"KOREA_SOUTH","Korea, Republic of","NCIT:C16774","NCIT"
"UNITED_KINGDOM","United Kingdom","NCIT:C17233","NCIT"
"JAPAN","Japan","NCIT:C16764","NCIT"
"PHILLIPINES","Philippines","NCIT:C16978","NCIT"
"CROATIA","Croatia","NCIT:C16474","NCIT"
"SWEDEN","Sweden","NCIT:C17180","NCIT"
