original_value,curated_ontology,curated_ontology_term_id,curated_ontology_term_db
GCB,germinal center B cell,CL:0000844,NCIT
FIBROBLAST_LUNG,fibroblast of lung,CL:0002553,CL
FIBROBLAST_BREAST,fibroblast of breast,CL:4006000,CL
IMMORTALIZED_EPITHELIAL,immortal epithelial cell line cell,CLO:0000129,CLO
IMMORTALIZED_FIBROBLAST,immortal fibroblast cell line cell,CLO:0000161,CLO
IMMORTALIZED_EMBRYONIC_FIBROBLAST,immortal embryo-derived fibroblast cell line cell,CLO:0000193,CLO
UNDIFFERENTIATED_SARCOMA,undifferentiated sarcoma,EFO:0000730,EFO
TESTICULAR CARCINOMA,Testicular Carcinoma,EFO:0005088,EFO
NEPHROBLASTOMATOSIS,Nephroblastomatosis,HP:0008643,HP
GASTRIC TYPE MUCINOUS CARCINOMA,Mucinous gastric carcinoma,HP:0031498,HP
TESTICULAR MESOTHELIOMA,Testicular mesothelioma,HP:0100005,HP
UTERINE CORPUS ENDOMETRIAL CARCINOMA OTHER,uterine corpus endometrial carcinoma,MONDO:0000553,MONDO
UTERINE CORPUS ENDOMETRIAL CARCINOMA,uterine corpus endometrial carcinoma,MONDO:0000553,MONDO
UCEC CSRC,uterine corpus endometrial carcinoma<;>Uterine Carcinosarcoma,MONDO:0000553<;>NCIT:C42700,MONDO<;>NCIT
UCEC_CN_HIGH,uterine corpus endometrial carcinoma<;>Copy Number<;>High,MONDO:0000553<;>NCIT:C49142<;>NCIT:C25227,MONDO<;>NCIT
UCEC_CN_LOW,uterine corpus endometrial carcinoma<;>Copy Number<;>Low,MONDO:0000553<;>NCIT:C49142<;>NCIT:C54722,MONDO<;>NCIT
MIXED OVARIAN CARCINOMA,ovary mixed epithelial carcinoma,MONDO:0004031,MONDO
SARCOMATOID CARCINOMA OF THE URINARY BLADDER,infiltrating bladder urothelial carcinoma sarcomatoid variant,MONDO:0004278,MONDO
PLASMACYTOID/SIGNET RING CELL BLADDER CARCINOMA,plasmacytoid variant infiltrating bladder urothelial carcinoma,MONDO:0004416,MONDO
PLASMACYTOID/SIGNET RING CELL BLADDER CARCINOMAÂ ,plasmacytoid variant infiltrating bladder urothelial carcinoma,MONDO:0004416,MONDO
FATTY LIVER DISEASE,fatty liver disease,MONDO:0004790,MONDO
UPPER_AERODIGESTIVE,upper aerodigestive tract neoplasm,MONDO:0005398,MONDO
UPPER AERODIGESTIVE,upper aerodigestive tract neoplasm,MONDO:0005398,MONDO
UPPER_AERODIGESTIVE_CARCINOMA,upper aerodigestive tract neoplasm,MONDO:0005398,MONDO
UPPER_AERODIGESTIVE_SQUAMOUS,upper aerodigestive tract neoplasm<;>Oral Cavity Squamous Cell Carcinoma,MONDO:0005398<;>NCIT:C4833,MONDO
THYROID_SQUAMOUS,thyroid gland squamous cell carcinoma,MONDO:0006467,MONDO
THYROID_SQUAMOUS_CELL_CARCINOMA,thyroid gland squamous cell carcinoma,MONDO:0006467,MONDO
SKIN ADNEXAL CARCINOMA,skin appendage carcinoma,MONDO:0006973,MONDO
UTERINE UNDIFFERENTIATED CARCINOMA,undifferentiated carcinoma of the corpus uteri,MONDO:0016267,MONDO
OVARIAN FIBROTHECOMA,Ovarian Fibrothecoma,MONDO:0017802,MONDO
THYMIC NEUROENDOCRINE TUMOR,thymic neuroendocrine tumor,MONDO:0019964,MONDO
MYXOID/ROUND-CELL LIPOSARCOMA,myxoid/round cell liposarcoma,MONDO:0020561,MONDO
UPPER TRACT UROTHELIAL CARCINOMA,upper tract urothelial carcinoma,MONDO:0020659,MONDO
UPPER TRACT UROTHELIAL,upper tract urothelial carcinoma,MONDO:0020659,MONDO
UTUC,upper tract urothelial carcinoma,MONDO:0020659,MONDO
FIBROTHECOMA,Fibrothecoma,MONDO:0700036,MONDO
6-FOXA1,FOXA1 Gene,NCIT:C101646,NCIT
5-SPOP,SPOP Gene,NCIT:C102534,NCIT
"SQUAMOUS CELL CARCINOMA, PHARYNX",Pharyngeal Squamous Cell Carcinoma,NCIT:C102872,NCIT
ASTROCYTOMA_GRADE_III-IV,High Grade Astrocytic Tumor,NCIT:C102897,NCIT
ESOPHAGOGASTRIC CANCER,Gastroesophageal Cancer,NCIT:C103064,NCIT
ESOPHAGOGASTRIC CARCINOMA,Gastroesophageal Cancer,NCIT:C103064,NCIT
PRIMARY ESOPHAGUS,Gastroesophageal Cancer<;>Primary Neoplasm,NCIT:C103064<;>NCIT:C8509,NCIT
HIGH-GRADE SEROUS OVARIAN CANCER,Ovarian High Grade Serous Adenocarcinoma,NCIT:C105555,NCIT
OVARIAN HIGH-GRADE SEROUS,Ovarian High Grade Serous Adenocarcinoma,NCIT:C105555,NCIT
