original_value,curated_ontology_term_id_link,onto_source,curated_ontology,curated_ontology_term_id
VIETNAM,http://purl.obolibrary.org/obo/NCIT_C17252,NCIT,Viet Nam,NCIT_C17252
MEXICO,http://purl.obolibrary.org/obo/NCIT_C16850,NCIT,Mexico,NCIT_C16850
SINGAPORE,http://purl.obolibrary.org/obo/NCIT_C17134,NCIT,Singapore,NCIT_C17134
ROMANIA,http://purl.obolibrary.org/obo/NCIT_C17108,NCIT,Romania,NCIT_C17108
RUSSIA,http://purl.obolibrary.org/obo/NCIT_C17111,NCIT,Russian Federation,NCIT_C17111
UNITED STATES,http://purl.obolibrary.org/obo/NCIT_C17234,NCIT,United States,NCIT_C17234
UKRAINE,http://purl.obolibrary.org/obo/NCIT_C17229,NCIT,Ukraine,NCIT_C17229
CANADA,http://purl.obolibrary.org/obo/NCIT_C16380,NCIT,Canada,NCIT_C16380
BULGARIA,http://purl.obolibrary.org/obo/NCIT_C16368,NCIT,Bulgaria,NCIT_C16368
AUSTRALIA,http://purl.obolibrary.org/obo/NCIT_C16311,NCIT,Australia,NCIT_C16311
BRAZIL,http://purl.obolibrary.org/obo/NCIT_C16364,NCIT,Brazil,NCIT_C16364
NETHERLANDS,http://purl.obolibrary.org/obo/NCIT_C16903,NCIT,Netherlands,NCIT_C16903
UNITED KINGDOM,http://purl.obolibrary.org/obo/NCIT_C17233,NCIT,United Kingdom,NCIT_C17233
USA,http://purl.obolibrary.org/obo/NCIT_C17234,NCIT,United States,NCIT_C17234
POLAND,http://purl.obolibrary.org/obo/NCIT_C17002,NCIT,Poland,NCIT_C17002
CHINA,http://purl.obolibrary.org/obo/NCIT_C16428,NCIT,China,NCIT_C16428
ITALY,http://purl.obolibrary.org/obo/NCIT_C16761,NCIT,Italy,NCIT_C16761
UNITED STATES OF AMERICA,http://purl.obolibrary.org/obo/NCIT_C17234,NCIT,United States,NCIT_C17234
SOUTH WALES,http://purl.obolibrary.org/obo/NCIT_C17233,NCIT,United Kingdom,NCIT_C17233
INDIA,http://purl.obolibrary.org/obo/NCIT_C16727,NCIT,India,NCIT_C16727
DENMARK,http://purl.obolibrary.org/obo/NCIT_C16496,NCIT,Denmark,NCIT_C16496
SERBIA,http://purl.obolibrary.org/obo/NCIT_C64377,NCIT,Serbia,NCIT_C64377
IRAQ,http://purl.obolibrary.org/obo/NCIT_C16756,NCIT,Iraq,NCIT_C16756
GERMANY,http://purl.obolibrary.org/obo/NCIT_C16636,NCIT,Germany,NCIT_C16636
NORTH CAROLINA,http://purl.obolibrary.org/obo/NCIT_C17234,NCIT,United States,NCIT_C17234
NC,http://purl.obolibrary.org/obo/NCIT_C17234,NCIT,United States,NCIT_C17234
"TEXAS, USA",http://purl.obolibrary.org/obo/NCIT_C17234,NCIT,United States,NCIT_C17234
"MINNESOTA, USA",http://purl.obolibrary.org/obo/NCIT_C17234,NCIT,United States,NCIT_C17234
ONTARIO/CANADA,http://purl.obolibrary.org/obo/NCIT_C16380,NCIT,Canada,NCIT_C16380
ONTARIO CANADA,http://purl.obolibrary.org/obo/NCIT_C16380,NCIT,Canada,NCIT_C16380
ONTARIO,http://purl.obolibrary.org/obo/NCIT_C16380,NCIT,Canada,NCIT_C16380
PA,http://purl.obolibrary.org/obo/NCIT_C17234,NCIT,United States,NCIT_C17234
AZ/USA,http://purl.obolibrary.org/obo/NCIT_C17234,NCIT,United States,NCIT_C17234
NEW YORK,http://purl.obolibrary.org/obo/NCIT_C17234,NCIT,United States,NCIT_C17234
MICHIGAN,http://purl.obolibrary.org/obo/NCIT_C17234,NCIT,United States,NCIT_C17234
OKLAHOMA,http://purl.obolibrary.org/obo/NCIT_C17234,NCIT,United States,NCIT_C17234
TEXAS,http://purl.obolibrary.org/obo/NCIT_C17234,NCIT,United States,NCIT_C17234
KOREA,http://purl.obolibrary.org/obo/NCIT_C16774,NCIT,"Korea, Republic of",NCIT_C16774
TENNESSEE,http://purl.obolibrary.org/obo/NCIT_C17234,NCIT,United States,NCIT_C17234
DELAWARE,http://purl.obolibrary.org/obo/NCIT_C17234,NCIT,United States,NCIT_C17234
