original_value,curated_ontology,curated_ontology_term_id,curated_ontology_term_db
SAN,South Asian,HANCESTRO:0006,HANCESTRO
EAST INDIAN,Indian,HANCESTRO:0487,HANCESTRO
ADMIXEDBLACK,Admixed Ancestry,HANCESTRO:0306,HANCESTRO
ADMIXEDASIAN,Admixed Ancestry,HANCESTRO:0306,HANCESTRO
ADMIXEDWHITE,Admixed Ancestry,HANCESTRO:0306,HANCESTRO
BLACK/SUB-SAHARAN AFRICA,Sub-Saharan African,HANCESTRO:0011,HANCESTRO
WHITE/NORTH AFRICA,North African,NCIT:C126529,NCIT
ASIAN INDIAN PAKISTANI,South Asian,HANCESTRO:0006,HANCESTRO
EASTASIAN,East Asian,HANCESTRO:0009,HANCESTRO
WHITE-BRITISH,British,HANCESTRO:0462,HANCESTRO
WHITE-IRISH,Irish,HANCESTRO:0383,HANCESTRO
ASIAN/FILIPINO,Filipino,HANCESTRO:0498,HANCESTRO
NH/C,Not Hispanic or Latino,NCIT:C41222,NCIT
NH/B,Not Hispanic or Latino,NCIT:C41222,NCIT
NH/A,Not Hispanic or Latino,NCIT:C41222,NCIT
NHC,Not Hispanic or Latino,NCIT:C41222,NCIT
NH/AA,Not Hispanic or Latino,NCIT:C41222,NCIT
SLAVIC,Eastern European,NCIT:C77819,NCIT
NOT HISPANIC OR LATINO,Not Hispanic or Latino,NCIT:C41222,NCIT
NON-HISPANIC,Not Hispanic or Latino,NCIT:C41222,NCIT
CHINESE,Chinese,HANCESTRO:0021,HANCESTRO
INDIAN,Indian,HANCESTRO:0487,HANCESTRO
MALAY,Malaysian,HANCESTRO:0496,HANCESTRO
BRAZIL,Brazilian,HANCESTRO:0352,HANCESTRO
CHINA,Chinese,HANCESTRO:0021,HANCESTRO
FRANCE,French,HANCESTRO:0363,HANCESTRO
ITALY,Italian,HANCESTRO:0307,HANCESTRO
JAPAN,Japanese,HANCESTRO:0019,HANCESTRO
ROMANIA,Romanian,HANCESTRO:0385,HANCESTRO
SINGAPORE,Singaporean,NCIT:C43721,NCIT
THAILAND,Thai,HANCESTRO:0500,HANCESTRO
TAIWAN,Taiwanese,HANCESTRO:0020,HANCESTRO
HAN,Han Chinese,NCIT:C158158,NCIT
ASIAN INDIAN,Indian,HANCESTRO:0487,HANCESTRO
CARIBBEAN,Caribbean,HANCESTRO:0048,HANCESTRO
KOREAN,Korean,HANCESTRO:0022,HANCESTRO
NORTH AFRICAN,North African,NCIT:C126529,NCIT
TURKISH,Turkish,HANCESTRO:0451,HANCESTRO
PUERTORICAN,Puerto Rican,HANCESTRO:0421,HANCESTRO
HAWAIIAN,Native Hawaiian,HANCESTRO:0573,HANCESTRO
PUERTO RICAN,Puerto Rican,HANCESTRO:0421,HANCESTRO
PAKISTAN,Pakistani,HANCESTRO:0490,HANCESTRO
DOMINICAN REPUBLIC,Dominican,HANCESTRO:0406,HANCESTRO
CUBAN,Cuban,HANCESTRO:0405,HANCESTRO
FILIPINO,Filipino,HANCESTRO:0498,HANCESTRO
EAST ASIAN,East Asian,HANCESTRO:0009,HANCESTRO
SOUTH ASIAN,South Asian,HANCESTRO:0006,HANCESTRO
MEXICAN,Mexican,HANCESTRO:0415,HANCESTRO
LAOTIAN,Lao,HANCESTRO:0495,HANCESTRO
SAMOAN,Samoan,HANCESTRO:0478,HANCESTRO
FIJI ISLANDER,Fijian,HANCESTRO:0466,HANCESTRO
KOREA,Korean,HANCESTRO:0022,HANCESTRO
AFRICAN AMERICANHAITAN,Haitian,HANCESTRO:0336,HANCESTRO
NOT-HISPANIC OR LATINO,Not Hispanic or Latino,NCIT:C41222,NCIT
"NON-SPANISH,NON-HISPANIC",Not Hispanic or Latino,NCIT:C41222,NCIT
"NON-SPANISH, NON-HISPANIC",Not Hispanic or Latino,NCIT:C41222,NCIT
HAN NATIONALITY,Han Chinese,NCIT:C158158,NCIT
MONGOL NATIONALITY,Mongol Chinese,NCIT:C158167,NCIT
SALAR NATIONALITY,Salar Chinese,NCIT:C158192,NCIT
MEXICAN INCLUDES CHICANO,Mexican,HANCESTRO:0415,HANCESTRO
NON-SPANISH,Not Hispanic or Latino,NCIT:C41222,NCIT
MIDDLE EASTERN-LEBANESE,Lebanese,HANCESTRO:0443,HANCESTRO
MULTIRACIAL,Multiracial,NCIT:C67109,NCIT
