original_value,curated_ontology,curated_ontology_term_id,curated_ontology_term_db
SAN,Asian,HANCESTRO:0008,HANCESTRO
"AMERICAN INDIAN, BLACK, WHITE, OTHER",Native American;European;African American or Afro-Caribbean,HANCESTRO:0013;HANCESTRO:0005;HANCESTRO:0016,HANCESTRO
"AMERICAN INDIAN, WHITE",Native American;European,HANCESTRO:0013;HANCESTRO:0005,HANCESTRO
EAST INDIAN,Asian,HANCESTRO:0008,HANCESTRO
SPANISH NOS,Hispanic or Latin American,HANCESTRO:0014,HANCESTRO
HISPNATIVE,Hispanic or Latin American,HANCESTRO:0014,HANCESTRO
ADMIXEDBLACK,African,HANCESTRO:0010,HANCESTRO
ADMIXEDASIAN,Asian,HANCESTRO:0008,HANCESTRO
ADMIXEDWHITE,European,HANCESTRO:0005,HANCESTRO
SOUTH OR CENTRAL AMERICAN EXCEPT BRAZIL,European;Hispanic or Latin American,HANCESTRO:0005;HANCESTRO:0014,HANCESTRO
SOUTH OR CENTRAL AMERICAN,European;Hispanic or Latin American,HANCESTRO:0005;HANCESTRO:0014,HANCESTRO
"SPANISH, NOS",Hispanic or Latin American,HANCESTRO:0014,HANCESTRO
SOUTH/CENTRAL AMERICA EXCEPT BRAZIL,Hispanic or Latin American,HANCESTRO:0014,HANCESTRO
"AMERICAN INDIAN, ALEUTIAN, OR ESKIMO INCLUDES ALL INDIGENOUS POPULATIONS OF THE WESTERN HEMISPHERE",Native American,HANCESTRO:0013,HANCESTRO
NATIVE AMERICAN-AM IND/ALASKA,Native American,HANCESTRO:0013,HANCESTRO
WHITE/EUROPE,European,HANCESTRO:0005,HANCESTRO
BLACK/SUB-SAHARAN AFRICA,African,HANCESTRO:0010,HANCESTRO
WHITE/LATIN AMERICA,European;Hispanic or Latin American,HANCESTRO:0005;HANCESTRO:0014,HANCESTRO
WHITE/NORTH AFRICA,Greater Middle Eastern (Middle Eastern or North African or Persian),HANCESTRO:0015,HANCESTRO
W/NAT AMER,Native American;European,HANCESTRO:0013;HANCESTRO:0005,HANCESTRO
"AMERICAN INDIAN, ALEUTIAN, ESKIMO",Native American,HANCESTRO:0013,HANCESTRO
ASIAN INDIAN PAKISTANI,Asian,HANCESTRO:0008,HANCESTRO
EASTASIAN,Asian,HANCESTRO:0008,HANCESTRO
ASIAN: FAR EAST/INDIAN,Asian,HANCESTRO:0008,HANCESTRO
WHITE-BRITISH,European,HANCESTRO:0005,HANCESTRO
WHITE-IRISH,European,HANCESTRO:0005,HANCESTRO
"BLACK/AFRICAN, WHITE/CAUCASIAN",African;European,HANCESTRO:0010;HANCESTRO:0005,HANCESTRO
"ASIAN, WHITE/CAUCASIAN",Asian,HANCESTRO:0008,HANCESTRO
ASIAN/FILIPINO,Asian,HANCESTRO:0008,HANCESTRO
NH/C,European,HANCESTRO:0005,HANCESTRO
NH/B,African,HANCESTRO:0010,HANCESTRO
NH/A,Asian,HANCESTRO:0008,HANCESTRO
NHC,European,HANCESTRO:0005,HANCESTRO
NH/AA,African American or Afro-Caribbean,HANCESTRO:0016,HANCESTRO
SLAVIC,European,HANCESTRO:0005,HANCESTRO
WHITE,European,HANCESTRO:0005,HANCESTRO
HISPANIC OR LATINO,Hispanic or Latin American,HANCESTRO:0014,HANCESTRO
BLACK OR AFRICAN AMERICAN,African American or Afro-Caribbean,HANCESTRO:0016,HANCESTRO
