study_id,curated_ontology,curated_ontology_term_id
acbc_mskcc_2015,Breast Adenoid Cystic Carcinoma,NCIT:C5130
acc_2019,Adenoid Cystic Carcinoma,NCIT:C2970
acc_tcga,Adrenal Cortical Carcinoma,NCIT:C9325
acc_tcga_pan_can_atlas_2018,Adrenal Cortical Carcinoma,NCIT:C9325
acyc_fmi_2014,Adenoid Cystic Carcinoma,NCIT:C2970
acyc_jhu_2016,Adenoid Cystic Carcinoma,NCIT:C2970
acyc_mda_2015,Adenoid Cystic Carcinoma,NCIT:C2970
acyc_mgh_2016,Adenoid Cystic Carcinoma,NCIT:C2970
acyc_mskcc_2013,Adenoid Cystic Carcinoma,NCIT:C2970
acyc_sanger_2013,Adenoid Cystic Carcinoma,NCIT:C2970
all_phase2_target_2018_pub,Pediatric;Acute Lymphoblastic Leukemia,NCIT:C39299;NCIT:C3167
all_stjude_2013,Hypodiploidy;Acute Lymphoblastic Leukemia,NCIT:C80337;NCIT:C3167
all_stjude_2015,Acute Lymphoblastic Leukemia;MLL Gene Rearrangement,NCIT:C3167;NCIT:C122623
all_stjude_2016,B Acute Lymphoblastic Leukemia,NCIT:C8644
aml_ohsu_2018,Acute Myeloid Leukemia,NCIT:C3171
aml_target_2018_pub,Pediatric;Acute Myeloid Leukemia,NCIT:C39299;NCIT:C3171
ampca_bcm_2016,Ampulla of Vater Carcinoma,NCIT:C3908
angs_painter_2020,Angiosarcoma,NCIT:C3088
angs_project_painter_2018,Angiosarcoma,NCIT:C3088
bcc_unige_2016,Basal Cell Carcinoma,NCIT:C156767
bfn_duke_nus_2015,Breast Phyllodes Tumor,NCIT:C7575
biliary_tract_summit_2022,Liver and Intrahepatic Bile Duct Carcinoma,NCIT:C7927
blca_bcan_hcrn_2022,Urothelial Carcinoma,NCIT:C4030
blca_bgi,Bladder Urothelial Carcinoma,NCIT:C39851
blca_cornell_2016,Urothelial Carcinoma,NCIT:C4030
blca_dfarber_mskcc_2014,Bladder Urothelial Carcinoma,NCIT:C39851
blca_msk_tcga_2020,Bladder Carcinoma,NCIT:C4912
blca_mskcc_solit_2012,Bladder Carcinoma,NCIT:C4912
blca_mskcc_solit_2014,Bladder Carcinoma,NCIT:C4912
blca_nmibc_2017,Bladder Carcinoma,NCIT:C4912
blca_plasmacytoid_mskcc_2016,Bladder Carcinoma,NCIT:C4912
blca_tcga,Bladder Urothelial Carcinoma,NCIT:C39851
blca_tcga_pan_can_atlas_2018,Bladder Urothelial Carcinoma,NCIT:C39851
blca_tcga_pub,Bladder Urothelial Carcinoma,NCIT:C39851
blca_tcga_pub_2017,Bladder Carcinoma,NCIT:C4912
brain_cptac_2020,Pediatric;Malignant Brain Neoplasm,NCIT:C39299;NCIT:C3568
brca_bccrc,Breast Carcinoma,NCIT:C4872
brca_bccrc_xenograft_2014,Breast Carcinoma;Xenograft,NCIT:C4872;NCIT:C12932
brca_broad,Invasive Breast Carcinoma,NCIT:C9245
brca_cptac_2020,Breast Carcinoma,NCIT:C4872
brca_hta9_htan_2022,Breast Carcinoma,NCIT:C4872
brca_igr_2015,Breast Neoplasm;Metastatic,NCIT:C2910;NCIT:C14174
brca_jup_msk_2020,Invasive Breast Carcinoma,NCIT:C9245
brca_mapk_hp_msk_2021,Breast Carcinoma,NCIT:C4872
brca_mbcproject_2022,Breast Neoplasm;Metastatic,NCIT:C2910;NCIT:C14174
