"study_name","PMID","# of samples","missing: age(%)","missing: gender(%)","missing: antibiotics_current_use(%)","missing: infant_age(%)"
"AsnicarF_2017","28144631",24,66.7,0,100,87.5
"AsnicarF_2021","33432175",1098,0,0,0,100
"BackhedF_2015","25974306",400,28.2,4.2,29.5,28.2
"Bengtsson-PalmeJ_2015","26259788",70,0,0,0,100
"BritoIL_2016","27409808",312,0,0,100,100
"BrooksB_2017","29180750",408,0,1.2,100,0
"Castro-NallarE_2015","26336637",32,0,0,0,100
"ChengpingW_2017","28750650",97,0,0,0,100
"ChngKR_2016","27562258",78,0,0,100,100
"ChuDM_2017","28112736",86,0,0,83.7,22.1
"CosteaPI_2017","29242367",279,100,17.6,100,100
"DavidLA_2015","25991682",47,100,100,100,100
"DeFilippisF_2019","30799264",97,0,0,100,100
"DhakanDB_2019","30698687",110,0,0,0,97.3
"FengQ_2015","25758642",154,0,0,100,100
"FerrettiP_2018","30001516",214,100,63.1,100,100
"FrankelAE_2017","28923537",39,0,0,100,100
"GhensiP_2019","33127901",113,100,100,100,100
"GopalakrishnanV_2018","29097493",25,100,100,100,100
"GuptaA_2019","31719139",60,0,0,0,100
"GuptaA_2019","30698687",60,0,0,0,100
"HallAB_2017","29183332",259,100,100,100,100
"HanniganGD_2017","30459201",81,0,0,0,100
"HansenLBS_2018","30425247",207,0,0,0,100
"Heitz-BuschartA_2016","27723761",53,0,0,0,100
"HMP_2012","22699609",748,0,0,100,100
"HMP_2019_ibdmdb","29311644",1627,1.2,0,0,100
"HMP_2019_ibdmdb","31142855",1627,1.2,0,0,100
"HMP_2019_t2d","31142858",296,0,0,99.3,100
"IjazUZ_2017","28222161",94,1.1,88.3,0,100
"JieZ_2017","29018189",385,1.8,1.3,0,100
"KarlssonFH_2013","23719380",145,0,0,0,100
"KaurK_2020","32267865",31,0,0,0,100
"KeohaneDM_2020","32632193",117,0,0,0,100
"KieserS_2018","29786169",27,100,100,100,100
"KosticAD_2015","25662751",120,0,0,100,0
"LassalleF_2017","29165844",23,60.9,0,100,100
"LeChatelierE_2013","23985870",292,100,100,0,100
"LeeKA_2022","35228751",165,100,0,1.8,100
"LifeLinesDeep_2016","27126040",1135,0,0,0,100
"LiJ_2014","24997786",260,82.7,82.7,100,100
"LiJ_2017","28143587",196,100,100,0,100
"LiSS_2016","27126044",55,100,0,0,100
"LiuW_2016","27708392",110,100,100,100,100
"LokmerA_2019","30726303",57,0,0,100,100
"LomanNJ_2013","23571589",42,100,100,100,100
"LoombaR_2017","28467925",86,100,100,100,100
"LouisS_2016","26919743",92,100,100,0,100
"MatsonV_2018","29302014",39,100,100,100,100
"MehtaRS_2018","29335554",928,100,0,100,100
"NagySzakalD_2017","28441964",100,0,0,50,100
"NielsenHB_2014","24997787",396,0.5,0,100,100
"Obregon-TitoAJ_2015","25807110",58,1.7,1.7,100,100
"OhJ_2014","25279917",291,100,1.4,100,100
"OlmMR_2017","28073918",45,0,100,0,0
"PasolliE_2019","30661755",112,0,0,0,100
"PehrssonE_2016","27172044",191,0,1.6,100,96.9
"PetersBA_2019","31597568",27,0,0,0,100
"QinJ_2012","23023125",363,5.2,5.2,100,100
"QinN_2014","25079328",237,0,0,0,100
"RampelliS_2015","25981789",38,0,0,100,100
"RaymondF_2016","26359913",72,0,0,0,100
"RosaBA_2018","29486796",24,100,100,100,100
"RubelMA_2020","32450885",175,0,0,100,100
"SankaranarayananK_2015","26671671",37,0,0,0,100
"SchirmerM_2016","27984736",471,1.3,1.3,0,100
"ShaoY_2019","31534227",1644,1.5,5.5,12.8,10.8
"ShiB_2015","25691586",48,100,100,0,100
"SmitsSA_2017","28839072",40,32.5,30,0,100
"TettAJ_2016","28649415",89,0,0,0,100
"TettAJ_2019_a","31607556",68,0,100,100,100
"TettAJ_2019_b","31607556",44,2.3,100,100,100
"TettAJ_2019_c","31607556",50,2,4,100,100
"ThomasAM_2018a","30936548",80,0,0,0,100
"ThomasAM_2018b","30936548",60,1.7,0,0,100
"ThomasAM_2019_c","30936548",80,0,0,100,100
"VatanenT_2016","27133167",785,0,0,0,62.7
"VilaAV_2018","30567928",355,100,0,100,100
"VincentC_2016","26975510",229,0,0,0,100
"VogtmannE_2016","27171425",110,5.5,5.5,100,100
"WampachL_2018","30504906",63,0,0,0,38.1
"WindTT_2020","31990790",20,0,0,100,100
"WirbelJ_2018","30936547",125,0,0,100,100
"XieH_2016","27818083",250,0,0,100,100
"YachidaS_2019","31171880",616,0,0,100,100
"YassourM_2016","26884067",36,100,100,100,100
"YassourM_2018","30001517",271,100,0,100,42.8
"YeZ_2018","30077182",65,0,0,0,100
"YuJ_2015","26408641",128,0,0,100,100
"ZeeviD_2015","26590418",900,100,100,0,100
"ZellerG_2014","25432777",156,0,0,100,100
"ZhuF_2020","32235826",171,0,0,0,100
