"curation_id","original_fmt_id","original_fmt_role","curated_fmt_role","curated_fmt_id","curated_fmt_id_source","curated_fmt_role_source"
"AsnicarF_2017:MV_FEI1_t1Q14",NA,NA,NA,NA,NA,NA
"AsnicarF_2017:MV_FEI2_t1Q14",NA,NA,NA,NA,NA,NA
"AsnicarF_2017:MV_FEI3_t1Q14",NA,NA,NA,NA,NA,NA
"AsnicarF_2017:MV_FEI4_t1Q14",NA,NA,NA,NA,NA,NA
"AsnicarF_2017:MV_FEI4_t2Q15",NA,NA,NA,NA,NA,NA
"AsnicarF_2017:MV_FEI5_t1Q14",NA,NA,NA,NA,NA,NA
"AsnicarF_2017:MV_FEI5_t2Q14",NA,NA,NA,NA,NA,NA
"AsnicarF_2017:MV_FEI5_t3Q15",NA,NA,NA,NA,NA,NA
"AsnicarF_2017:MV_FEM1_t1Q14",NA,NA,NA,NA,NA,NA
"AsnicarF_2017:MV_FEM2_t1Q14",NA,NA,NA,NA,NA,NA
"AsnicarF_2017:MV_FEM3_t1Q14",NA,NA,NA,NA,NA,NA
"AsnicarF_2017:MV_FEM4_t1Q14",NA,NA,NA,NA,NA,NA
"AsnicarF_2017:MV_FEM4_t2Q15",NA,NA,NA,NA,NA,NA
"AsnicarF_2017:MV_FEM5_t1Q14",NA,NA,NA,NA,NA,NA
"AsnicarF_2017:MV_FEM5_t2Q14",NA,NA,NA,NA,NA,NA
"AsnicarF_2017:MV_FEM5_t3Q15",NA,NA,NA,NA,NA,NA
"AsnicarF_2017:MV_MIM1_t1M14",NA,NA,NA,NA,NA,NA
"AsnicarF_2017:MV_MIM2_t1M14",NA,NA,NA,NA,NA,NA
"AsnicarF_2017:MV_MIM3_t1M14",NA,NA,NA,NA,NA,NA
"AsnicarF_2017:MV_MIM4_t1M14",NA,NA,NA,NA,NA,NA
"AsnicarF_2017:MV_MIM4_t2F15",NA,NA,NA,NA,NA,NA
"AsnicarF_2017:MV_MIM5_t1M14",NA,NA,NA,NA,NA,NA
"AsnicarF_2017:MV_MIM5_t2M14",NA,NA,NA,NA,NA,NA
"AsnicarF_2017:MV_MIM5_t3F15",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041133",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041134",NA,NA,NA,NA,NA,NA
