"curation_id","curated_body_site","curated_body_site_ontology_term_id","curated_body_subsite","curated_body_subsite_ontology_term_id","curated_body_subsite_source"
"AsnicarF_2017:MV_FEI1_t1Q14","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2017:MV_FEI2_t1Q14","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2017:MV_FEI3_t1Q14","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2017:MV_FEI4_t1Q14","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2017:MV_FEI4_t2Q15","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2017:MV_FEI5_t1Q14","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2017:MV_FEI5_t2Q14","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2017:MV_FEI5_t3Q15","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2017:MV_FEM1_t1Q14","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2017:MV_FEM2_t1Q14","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2017:MV_FEM3_t1Q14","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2017:MV_FEM4_t1Q14","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2017:MV_FEM4_t2Q15","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2017:MV_FEM5_t1Q14","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2017:MV_FEM5_t2Q14","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2017:MV_FEM5_t3Q15","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2017:MV_MIM1_t1M14","milk","UBERON:0001913",NA,NA,NA
"AsnicarF_2017:MV_MIM2_t1M14","milk","UBERON:0001913",NA,NA,NA
"AsnicarF_2017:MV_MIM3_t1M14","milk","UBERON:0001913",NA,NA,NA
"AsnicarF_2017:MV_MIM4_t1M14","milk","UBERON:0001913",NA,NA,NA
"AsnicarF_2017:MV_MIM4_t2F15","milk","UBERON:0001913",NA,NA,NA
"AsnicarF_2017:MV_MIM5_t1M14","milk","UBERON:0001913",NA,NA,NA
"AsnicarF_2017:MV_MIM5_t2M14","milk","UBERON:0001913",NA,NA,NA
"AsnicarF_2017:MV_MIM5_t3F15","milk","UBERON:0001913",NA,NA,NA
"AsnicarF_2021:SAMEA7041133","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041134","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041135","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041136","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041137","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041138","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041139","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041140","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041141","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041142","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041143","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041144","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041145","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041146","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041147","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041148","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041149","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041150","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041151","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041152","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041153","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041154","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041155","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041156","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041157","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041158","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041159","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041160","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041161","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041162","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041163","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041164","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041165","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041166","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041167","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041168","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041169","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041170","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041171","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041172","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041173","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041174","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041175","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041176","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041177","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041178","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041179","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041180","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041181","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041182","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041183","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041184","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041185","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041186","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041187","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041188","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041189","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041190","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041191","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041192","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041193","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041194","feces","UBERON:0001988",NA,NA,NA
