original_value,curated_ontology,curated_ontology_term_id,curated_ontology_term_db
AFRICAN_AMERICAN,African American,HANCESTRO:0568,HANCESTRO
CAUCASOID,Indian,HANCESTRO:0487,HANCESTRO
AUSTRALOID,Indian,HANCESTRO:0487,HANCESTRO
MONGOLOID,Indian,HANCESTRO:0487,HANCESTRO
CASIGURANI,Filipino,HANCESTRO:0498,HANCESTRO
AGTA,Filipino,HANCESTRO:0498,HANCESTRO
BATAK,Filipino,HANCESTRO:0498,HANCESTRO
TAGBANUA,Filipino,HANCESTRO:0498,HANCESTRO
ZAMBAL,Filipino,HANCESTRO:0498,HANCESTRO
AETA,Filipino,HANCESTRO:0498,HANCESTRO
DUTCH,Dutch,HANCESTRO:0320,HANCESTRO
BANTU,Cameroonian,HANCESTRO:0503,HANCESTRO
BAGYELI,Cameroonian,HANCESTRO:0503,HANCESTRO
MDG_1FE,Malagasy,HANCESTRO:0509,HANCESTRO
MDG_2FE,Malagasy,HANCESTRO:0509,HANCESTRO
