curated_field,curated_field_completeness,curated_field_unique_values,original_field,original_field_num,original_field_completeness,original_field_unique_values
age_at_death,5,4187,AGE_AT_DEATH,1,5,4187
age_at_diagnosis,14,2769,AGE_AT_DIAGNOSIS;AGE_AT_DIAGNOSIS_GROUP;AGE_AT_INITIAL_DIAGNOSIS;INVASIVE_CARCINOMA_DX_AGE;AGE_AT_DX;AGE_AT_PD1;AGE_D;DIAGNOSIS AGE;AGE_AT_INITIAL_PATHOLOGIC_DIAGNOSIS;PATIENT_AGE_AT_DIAGNOSIS,10,6;0;0;1;1;0;0;5;0;0,2624;17;604;67;75;28;35;93;69;25
age_at_metastasis,11,5315,AGE_AT_MET;AGE_AT_EVIDENCE_OF_METS;AGE_AT_METS,3,0;10;0,70;5297;59
age_at_procurement,70,26058,AGE;AGE_IN_DAYS;AGE_AT_PROCUREMENT;AGE_RESECTED;AGE_AT_SEQ_REPORT;AGE_AT_SEQ_REPORTED_YEARS;AGE_AT_SAMPLING;AGE_AT_SCC;AGE_AT_RESECTION;AGE_GROUP;AGE_TESTING_YEARS;AGE_START_IO;AGE_YRS;AGE_AT_SAMPLE_COLLECTION;AGE_AT_DERIVATION;AGE_AT_SEQUENCING;AGE_AT_TCGA_SPECIMEN;AGE_AT_DOS_BX;AGE_AT_SPECIMEN_ACQUISITION,19,45;3;2;0;2;4;0;0;0;1;0;0;0;0;0;14;0;1;0,16664;3380;469;53;93;101;64;50;45;15;30;56;36;44;20;5605;66;2217;83
body_site,50,2911,PRIMARY_SITE;METASTATIC_SITE;TUMOR_TISSUE_SITE;PRIMARY_SITE_PATIENT;TUMOR_TISSUE_SITE_PATIENT;TUMOR_LOCATION_CONDENSED;MULTIPLE_TUMOR_LOCATIONS;TUMOR_SITE;ANATOMICAL_SUBTYPE;TUMOR_TISSUE_ORIGIN;ESOPHAGEAL_TUMOR_LOCATION_INVOLVED;ESOPHAGEAL_TUMOR_LOCATION_CENTERED;LOCALIZED_VS_METS_AT_DX;LOCATION;TISSUE_SITE;TUMOR_LOCATION;TUMOR_LATERALITY;TUMOR_SITE_CURATED;LOCATION_LUNG_PARENCHYMA;BIOPSY_SITE;SOURCE_TYPE;TUMOR_LEVEL;SPECIFIC_TUMOR_LOCATION;DISEASE_EXTENT;TISSUE_TYPE;DISEASE_MULTIFOCAL_INDICATOR;PRIMARY_TUMOR_LOCATION;LOCALIZED_TUMOR;DETAILED_PRIMARY_SITE;TISSUE_SITE_OF_DERIVATION;DIAGNOSIS_CANCER_BONE;DIAGNOSIS_CANCER_LOC_AXILLARY_LN;DIAGNOSIS_CANCER_LOC_BREAST;DIAGNOSIS_CANCER_LOC_LIVER;DIAGNOSIS_CANCER_LOC_OTHER_LN;DIAGNOSIS_CANCER_LOC_SKIN;DIAGNOSIS_CANCER_LOC_LUNG;DIAGNOSIS_CANCER_LOC_PLEURAL_EFFUSION;DIAGNOSIS_CANCER_LOC_BRAIN;DIAGNOSIS_CANCER_LOC_OVARY;DIAGNOSIS_CANCER_LOC_CHEST_WALL;TUMOR_MEGASITE;TUMOR_SUBSITE;TUMOR_SUPERSITE;TUMOR_SITE_SAMPLE;TUMOR_SITE_DETAIL;LOCATION_RECURRED,47,34;13;7;3;0;0;0;2;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,560;331;232;147;2;23;3;159;6;2;6;8;4;15;186;64;4;19;3;156;3;8;26;15;9;4;39;3;178;18;5;5;5;5;5;5;5;5;5;5;5;4;35;8;12;84;28
country,1,28,COUNTRY;TUMOR_SAMPLE_PROCUREMENT_COUNTRY;BIRTH_COUNTRY;COUNTRY_OF_ORIGIN;PARTICIPANT_COUNTRY;COUNTRY_OF_PROCUREMENT,6,1;0;0;0;0;0,23;44;9;14;13;12
disease_metastasis,19,2,CANCER_TYPE;CANCER_TYPE_DETAILED;HISTOLOGICAL_DIAGNOSIS;SAMPLE_TYPE;TUMOR_TISSUE_SITE;HISTOLOGICAL_TYPE;CANCER_TYPE_ACRONYM;PERSON_NEOPLASM_CANCER_STATUS;SUBTYPE;DIAGNOSIS;DIAGNOSIS_AT_INCLUSION;SPECIFIC_DIAGNOSIS_AT_ACQUISITION;SPECIFIC_DIAGNOSIS_AT_INCLUSION;NON_AML_MDSMPN_DIAGNOSIS_AT_ACQUISITION;MDSMPN_DIAGNOSIS_AT_ACQUISITION;HISTOLOGICAL_SUBTYPE;DISEASE_CODE;INCIDENTAL_PROSTATE_CANCER;IHC_SUBTYPE;MORPHOLOGY_SUBTYPE;SAMPLE_CLASS;PAM50_SUBTYPE;SPECIMEN_TYPE;CNS_DISEASE;INITIAL_DIAGNOSIS_TYPE;CANCER.TYPE;TUMOR_SITE;LINEAGE_SUBTYPE;TYPE_REFINED;HIST_SUBTYPE1;HIST_SUBTYPE2;DISEASE_ONTOLOGY;LINEAGE_SUB_SUBTYPE;INTEGRATED_PHENOTYPE;MUTATION_PHENOTYPE;BREAST_CANCER_SUBTYPE;SUBTYPE_CONSENSUS;HISTOLOGY_SUBTYPE;LOCALIZED_VS_METS_AT_DX;WHO_CLASSIFICATION;SAMPLE_TYPE_DETAIL;PATHOLOGICAL_DIAGNOSIS;SPECIMEN_PRESERVATION_TYPE;CHRONIC_HEPATITIS_ANY_TYPE;FATTY_LIVER_DISEASE;HYPERTENSION_DIAGNOSIS;PREDOMINANT_HISTOLOGIC_SUBTYPE;SUBTYPE_GROUP;DOMINANT_HISTOLOGICAL_SUBTYPE;WHO_CLASS;ADENOCARCINOMA_SUBTYPE_WHO2015;PRIMARY_TYPE;MDS_TYPE;PATHOLOGY_CLASSIFICATION;DISEASE;DIABETES_DIAGNOSIS_INDICATOR;METASTATIC_DISEASE;ONCOTREE_CODE_CANCER_TYPE;SUBTYPE_DETAILS;CANCER_SUBTYPE_CURATED;DISEASE_EXTENT;HISTOLOGY_DIAGNOSIS;PRIMARY_MELANOMA_SKIN_TYPE;METASTATIC_DISEASE_CONFIRMED;PRIMARY_TUMOR_LOCALIZATION_TYPE;PRIMARY_DIAGNOSIS;TYPE;LAUREN_CLASS;INTESTINAL_TYPE_SUBCLASS;GASTRIC_CLASSIFICATION;ORIGINAL_DIAGNOSIS_AT_IMPLANT;INITIAL_DIAGNOSIS_OF_RECURRENT_TUMORS;RECURRENT_METASTATIC_DISEASE;DETAILED_CANCER_TYPE;CYTOLOGICAL_PHENOTYPE;TISSUE_SITE_OF_DERIVATION;RESIDUAL_NODAL_DISEASE;CANCER_IDENTIFICATION_IDC;CANCER_IDENTIFICATION_MIDLC;CANCER_IDENTIFICATION_ILC;SUBTYPE_ABBREVIATION;SPECIAL_HISTOLOGY;GYN_DIAGNOSIS_HISTOLOGY;MCRC_TYPE;DX_ORG_INST;CLAUDIN_SUBTYPE;EXTRANODAL_DISEASE;PREDOM_HISTO_SUBTYPE;DX_AT_INCLUSION;SPECIFIC_DX_AT_INCLUSION;SPECIFIC_DX_AT_ACQUISITION_MDSMPN,91,,
acronym,6,50,CANCER_TYPE_ACRONYM;ONCOTREE_CODE_CANCER_TYPE,2,6;1,34;19
cancer_status,5,3,PERSON_NEOPLASM_CANCER_STATUS,1,5,5
cancer_subtype,25,790,SUBTYPE;HISTOLOGICAL_SUBTYPE;IHC_SUBTYPE;MORPHOLOGY_SUBTYPE;PAM50_SUBTYPE;LINEAGE_SUBTYPE;TYPE_REFINED;HIST_SUBTYPE1;HIST_SUBTYPE2;LINEAGE_SUB_SUBTYPE;INTEGRATED_PHENOTYPE;MUTATION_PHENOTYPE;BREAST_CANCER_SUBTYPE;SUBTYPE_CONSENSUS;HISTOLOGY_SUBTYPE;CHRONIC_HEPATITIS_ANY_TYPE;PREDOMINANT_HISTOLOGIC_SUBTYPE;SUBTYPE_GROUP;DOMINANT_HISTOLOGICAL_SUBTYPE;ADENOCARCINOMA_SUBTYPE_WHO2015;PRIMARY_TYPE;PATHOLOGY_CLASSIFICATION;SUBTYPE_DETAILS;CANCER_SUBTYPE_CURATED;PRIMARY_MELANOMA_SKIN_TYPE;PRIMARY_TUMOR_LOCALIZATION_TYPE;TYPE;LAUREN_CLASS;INTESTINAL_TYPE_SUBCLASS;GASTRIC_CLASSIFICATION;CYTOLOGICAL_PHENOTYPE;SUBTYPE_ABBREVIATION;MCRC_TYPE;CLAUDIN_SUBTYPE;PREDOM_HISTO_SUBTYPE,35,20;3;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1;1;0,316;247;9;9;12;99;42;70;18;73;4;3;2;5;4;16;6;4;9;13;5;10;58;30;2;5;6;9;4;5;13;51;4;8;7
cancer_type,97,164,CANCER_TYPE;INCIDENTAL_PROSTATE_CANCER;CANCER.TYPE;PATHOLOGICAL_DIAGNOSIS;HISTOLOGY_DIAGNOSIS;PRIMARY_DIAGNOSIS;ORIGINAL_DIAGNOSIS_AT_IMPLANT;CANCER_IDENTIFICATION_IDC;CANCER_IDENTIFICATION_ILC;CANCER_IDENTIFICATION_MIDLC;DX_AT_INCLUSION;SPECIFIC_DX_AT_ACQUISITION_MDSMPN,12,,
cancer_type_detailed,97,878,CANCER_TYPE_DETAILED;HISTOLOGICAL_DIAGNOSIS;HISTOLOGICAL_TYPE;INITIAL_DIAGNOSIS_OF_RECURRENT_TUMORS;DETAILED_CANCER_TYPE;SPECIAL_HISTOLOGY;GYN_DIAGNOSIS_HISTOLOGY;DX_ORG_INST,8,97;7;1;0;2;0;0;0,783;162;44;5;71;19;2;16
disease,6,225,DIAGNOSIS;DIAGNOSIS_AT_INCLUSION;SPECIFIC_DIAGNOSIS_AT_ACQUISITION;SPECIFIC_DIAGNOSIS_AT_INCLUSION;MDSMPN_DIAGNOSIS_AT_ACQUISITION;NON_AML_MDSMPN_DIAGNOSIS_AT_ACQUISITION;DISEASE_CODE;CNS_DISEASE;INITIAL_DIAGNOSIS_TYPE;DISEASE_ONTOLOGY;WHO_CLASSIFICATION;HYPERTENSION_DIAGNOSIS;FATTY_LIVER_DISEASE;WHO_CLASS;MDS_TYPE;DISEASE;DIABETES_DIAGNOSIS_INDICATOR;DISEASE_EXTENT;RESIDUAL_NODAL_DISEASE;EXTRANODAL_DISEASE;SPECIFIC_DX_AT_INCLUSION,21,1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;1;0;0;0,26;7;35;38;3;3;4;3;9;100;8;5;3;36;3;5;3;15;3;3;40
specimen_type,65,67,SAMPLE_TYPE;SPECIMEN_TYPE;SAMPLE_TYPE_DETAIL,3,65;12;0,36;20;33
